Yil,Ay,Gun,Saat,Basel
Y2018,Ocak,D09,T0400,0.0
Y2018,Ocak,D09,T0500,0.0
Y2018,Ocak,D09,T0600,0.0
Y2018,Ocak,D09,T0700,0.0
Y2018,Ocak,D09,T0800,0.0
Y2018,Ocak,D09,T0900,0.0
Y2018,Ocak,D09,T1000,0.0
Y2018,Ocak,D09,T1100,0.0
Y2018,Ocak,D09,T1200,0.0
Y2018,Ocak,D09,T1300,0.0
Y2018,Ocak,D09,T1400,0.0
Y2018,Ocak,D09,T1500,0.2
Y2018,Ocak,D09,T1600,0.3
Y2018,Ocak,D09,T1700,0.1
Y2018,Ocak,D09,T1800,0.0
Y2018,Ocak,D09,T1900,0.0
Y2018,Ocak,D09,T2000,0.0
Y2018,Ocak,D09,T2100,0.0
Y2018,Ocak,D09,T2200,0.0
Y2018,Ocak,D09,T2300,0.0
Y2018,Ocak,D10,T0000,0.0
Y2018,Ocak,D10,T0100,0.0
Y2018,Ocak,D10,T0200,0.0
Y2018,Ocak,D10,T0300,0.0
Y2018,Ocak,D10,T0400,0.0
Y2018,Ocak,D10,T0500,0.0
Y2018,Ocak,D10,T0600,0.0
Y2018,Ocak,D10,T0700,0.0
Y2018,Ocak,D10,T0800,0.0
Y2018,Ocak,D10,T0900,0.0
Y2018,Ocak,D10,T1000,0.0
Y2018,Ocak,D10,T1100,0.0
Y2018,Ocak,D10,T1200,0.0
Y2018,Ocak,D10,T1300,0.0
Y2018,Ocak,D10,T1400,0.0
Y2018,Ocak,D10,T1500,0.0
Y2018,Ocak,D10,T1600,0.0
Y2018,Ocak,D10,T1700,0.0
Y2018,Ocak,D10,T1800,0.0
Y2018,Ocak,D10,T1900,0.0
Y2018,Ocak,D10,T2000,0.0
Y2018,Ocak,D10,T2100,0.0
Y2018,Ocak,D10,T2200,0.0
Y2018,Ocak,D10,T2300,0.0
Y2018,Ocak,D11,T0000,0.0
Y2018,Ocak,D11,T0100,0.0
Y2018,Ocak,D11,T0200,0.1
Y2018,Ocak,D11,T0300,0.2
Y2018,Ocak,D11,T0400,0.2
Y2018,Ocak,D11,T0500,0.2
Y2018,Ocak,D11,T0600,0.1
Y2018,Ocak,D11,T0700,0.0
Y2018,Ocak,D11,T0800,0.0
Y2018,Ocak,D11,T0900,0.0
Y2018,Ocak,D11,T1000,0.0
Y2018,Ocak,D11,T1100,0.0
Y2018,Ocak,D11,T1200,0.0
Y2018,Ocak,D11,T1300,0.0
Y2018,Ocak,D11,T1400,0.0
Y2018,Ocak,D11,T1500,0.0
Y2018,Ocak,D11,T1600,0.0
Y2018,Ocak,D11,T1700,0.0
