Yil,Ay,Gun,Saat,Yagis
Y2023,Ocak,D18,T1600,0.0
Y2023,Ocak,D18,T1700,0.0
Y2023,Ocak,D18,T1800,0.0
Y2023,Ocak,D18,T1900,0.0
Y2023,Ocak,D18,T2000,0.0
Y2023,Ocak,D18,T2100,0.0
Y2023,Ocak,D18,T2200,0.0
Y2023,Ocak,D18,T2300,0.0
Y2023,Ocak,D19,T0000,0.0
Y2023,Ocak,D19,T0100,0.0
Y2023,Ocak,D19,T0200,0.0
Y2023,Ocak,D19,T0300,0.0
Y2023,Ocak,D19,T0400,0.0
Y2023,Ocak,D19,T0500,0.0
Y2023,Ocak,D19,T0600,0.0
Y2023,Ocak,D19,T0700,0.0
Y2023,Ocak,D19,T0800,0.0
Y2023,Ocak,D19,T0900,0.0
Y2023,Ocak,D19,T1000,0.0
Y2023,Ocak,D19,T1100,0.0
Y2023,Ocak,D19,T1200,0.0
Y2023,Ocak,D19,T1300,0.0
Y2023,Ocak,D19,T1400,0.0
Y2023,Ocak,D19,T1500,0.0
Y2023,Ocak,D19,T1600,0.0
Y2023,Ocak,D19,T1700,0.0
Y2023,Ocak,D19,T1800,0.0
Y2023,Ocak,D19,T1900,0.0
Y2023,Ocak,D19,T2000,0.0
Y2023,Ocak,D19,T2100,0.0
Y2023,Ocak,D19,T2200,0.0
Y2023,Ocak,D19,T2300,0.0
Y2023,Ocak,D20,T0000,0.0
Y2023,Ocak,D20,T0100,0.0
Y2023,Ocak,D20,T0200,0.0
Y2023,Ocak,D20,T0300,0.0
Y2023,Ocak,D20,T0400,0.0
Y2023,Ocak,D20,T0500,0.0
Y2023,Ocak,D20,T0600,0.0
Y2023,Ocak,D20,T0700,0.1
Y2023,Ocak,D20,T0800,0.0
Y2023,Ocak,D20,T0900,0.0
Y2023,Ocak,D20,T1000,0.0
Y2023,Ocak,D20,T1100,0.0
Y2023,Ocak,D20,T1200,0.0
Y2023,Ocak,D20,T1300,0.0
Y2023,Ocak,D20,T1400,0.0
Y2023,Ocak,D20,T1500,0.0
Y2023,Ocak,D20,T1600,0.0
Y2023,Ocak,D20,T1700,0.0
Y2023,Ocak,D20,T1800,0.0
Y2023,Ocak,D20,T1900,0.0
Y2023,Ocak,D20,T2000,0.0
Y2023,Ocak,D20,T2100,0.0
Y2023,Ocak,D20,T2200,0.0
Y2023,Ocak,D20,T2300,0.0
Y2023,Ocak,D21,T0000,0.0
Y2023,Ocak,D21,T0100,0.0
Y2023,Ocak,D21,T0200,0.0
