Yil,Ay,Gun,Saat,Nem
Y2023,Ocak,D11,T2200,87.39545
Y2023,Ocak,D11,T2300,84.869774
Y2023,Ocak,D12,T0000,84.14994
Y2023,Ocak,D12,T0100,83.49864
Y2023,Ocak,D12,T0200,81.73657
Y2023,Ocak,D12,T0300,81.80119
Y2023,Ocak,D12,T0400,79.91787
Y2023,Ocak,D12,T0500,78.28549
Y2023,Ocak,D12,T0600,77.66633
Y2023,Ocak,D12,T0700,77.16991
Y2023,Ocak,D12,T0800,75.81001
Y2023,Ocak,D12,T0900,74.83986
Y2023,Ocak,D12,T1000,74.14576
Y2023,Ocak,D12,T1100,73.56864
Y2023,Ocak,D12,T1200,71.06546
Y2023,Ocak,D12,T1300,71.310005
Y2023,Ocak,D12,T1400,70.5368
Y2023,Ocak,D12,T1500,70.32671
Y2023,Ocak,D12,T1600,71.21132
Y2023,Ocak,D12,T1700,69.658
Y2023,Ocak,D12,T1800,68.29547
Y2023,Ocak,D12,T1900,67.29687
Y2023,Ocak,D12,T2000,66.72541
Y2023,Ocak,D12,T2100,65.44799
Y2023,Ocak,D12,T2200,65.353615
Y2023,Ocak,D12,T2300,65.24343
Y2023,Ocak,D13,T0000,67.86306
Y2023,Ocak,D13,T0100,70.66234
Y2023,Ocak,D13,T0200,74.51013
Y2023,Ocak,D13,T0300,79.21607
Y2023,Ocak,D13,T0400,83.841034
Y2023,Ocak,D13,T0500,84.8246
Y2023,Ocak,D13,T0600,82.13952
Y2023,Ocak,D13,T0700,82.26404
Y2023,Ocak,D13,T0800,83.968124
Y2023,Ocak,D13,T0900,85.47209
Y2023,Ocak,D13,T1000,87.17791
Y2023,Ocak,D13,T1100,86.98873
Y2023,Ocak,D13,T1200,79.48709
Y2023,Ocak,D13,T1300,76.890625
Y2023,Ocak,D13,T1400,72.13768
Y2023,Ocak,D13,T1500,75.50879
Y2023,Ocak,D13,T1600,79.54302
Y2023,Ocak,D13,T1700,82.19299
Y2023,Ocak,D13,T1800,80.662186
Y2023,Ocak,D13,T1900,78.97572
Y2023,Ocak,D13,T2000,76.67575
Y2023,Ocak,D13,T2100,75.960945
Y2023,Ocak,D13,T2200,78.51107
Y2023,Ocak,D13,T2300,81.57605
Y2023,Ocak,D14,T0000,82.55746
Y2023,Ocak,D14,T0100,83.73822
Y2023,Ocak,D14,T0200,84.66517
Y2023,Ocak,D14,T0300,83.68831
Y2023,Ocak,D14,T0400,83.972755
Y2023,Ocak,D14,T0500,81.68274
Y2023,Ocak,D14,T0600,80.2425
Y2023,Ocak,D14,T0700,78.633865
Y2023,Ocak,D14,T0800,78.356026
Y2023,Ocak,D14,T0900,77.04679
Y2023,Ocak,D14,T1000,77.64274
Y2023,Ocak,D14,T1100,72.31232
Y2023,Ocak,D14,T1200,67.20024
Y2023,Ocak,D14,T1300,56.360294
Y2023,Ocak,D14,T1400,49.885807
Y2023,Ocak,D14,T1500,53.566994
Y2023,Ocak,D14,T1600,63.69924
Y2023,Ocak,D14,T1700,71.955864
Y2023,Ocak,D14,T1800,75.85925
Y2023,Ocak,D14,T1900,76.384
Y2023,Ocak,D14,T2000,79.5056
Y2023,Ocak,D14,T2100,80.617584
Y2023,Ocak,D14,T2200,76.21286
Y2023,Ocak,D14,T2300,73.18237
Y2023,Ocak,D15,T0000,70.968704
Y2023,Ocak,D15,T0100,73.007835
Y2023,Ocak,D15,T0200,75.74026
Y2023,Ocak,D15,T0300,76.88791
Y2023,Ocak,D15,T0400,76.945435
Y2023,Ocak,D15,T0500,75.59366
Y2023,Ocak,D15,T0600,75.43417
Y2023,Ocak,D15,T0700,80.80584
Y2023,Ocak,D15,T0800,87.17307
Y2023,Ocak,D15,T0900,86.832016
Y2023,Ocak,D15,T1000,91.7161
Y2023,Ocak,D15,T1100,88.57576
Y2023,Ocak,D15,T1200,87.49682
Y2023,Ocak,D15,T1300,82.67897
Y2023,Ocak,D15,T1400,78.61107
Y2023,Ocak,D15,T1500,74.97287
Y2023,Ocak,D15,T1600,76.03572
Y2023,Ocak,D15,T1700,75.51631
Y2023,Ocak,D15,T1800,75.4881
Y2023,Ocak,D15,T1900,74.19017
Y2023,Ocak,D15,T2000,73.6713
Y2023,Ocak,D15,T2100,72.78224
Y2023,Ocak,D15,T2200,68.883804
Y2023,Ocak,D15,T2300,68.96834
Y2023,Ocak,D16,T0000,68.52387
Y2023,Ocak,D16,T0100,69.112465
Y2023,Ocak,D16,T0200,67.52018
Y2023,Ocak,D16,T0300,68.25888
Y2023,Ocak,D16,T0400,70.374985
Y2023,Ocak,D16,T0500,67.931244
Y2023,Ocak,D16,T0600,66.520836
Y2023,Ocak,D16,T0700,63.96383
Y2023,Ocak,D16,T0800,63.235336
Y2023,Ocak,D16,T0900,65.0245
Y2023,Ocak,D16,T1000,71.10911
Y2023,Ocak,D16,T1100,72.89475
Y2023,Ocak,D16,T1200,72.05684
Y2023,Ocak,D16,T1300,67.81623
Y2023,Ocak,D16,T1400,74.62972
Y2023,Ocak,D16,T1500,78.41301
Y2023,Ocak,D16,T1600,77.557915
Y2023,Ocak,D16,T1700,75.123276
Y2023,Ocak,D16,T1800,70.180534
Y2023,Ocak,D16,T1900,73.19462
Y2023,Ocak,D16,T2000,78.12346
Y2023,Ocak,D16,T2100,80.8921
Y2023,Ocak,D16,T2200,84.455925
Y2023,Ocak,D16,T2300,86.44585
Y2023,Ocak,D17,T0000,86.88073
Y2023,Ocak,D17,T0100,87.448494
Y2023,Ocak,D17,T0200,88.64397
Y2023,Ocak,D17,T0300,92.55948
Y2023,Ocak,D17,T0400,93.258125
Y2023,Ocak,D17,T0500,94.70717
Y2023,Ocak,D17,T0600,93.49185
Y2023,Ocak,D17,T0700,93.73066
Y2023,Ocak,D17,T0800,92.56936
Y2023,Ocak,D17,T0900,91.020226
Y2023,Ocak,D17,T1000,92.54802
Y2023,Ocak,D17,T1100,91.975174
Y2023,Ocak,D17,T1200,90.1034
Y2023,Ocak,D17,T1300,89.969666
Y2023,Ocak,D17,T1400,93.69155
Y2023,Ocak,D17,T1500,99.66329
Y2023,Ocak,D17,T1600,99.947556
Y2023,Ocak,D17,T1700,99.94278
Y2023,Ocak,D17,T1800,99.940765
Y2023,Ocak,D17,T1900,99.79121
Y2023,Ocak,D17,T2000,97.22255
Y2023,Ocak,D17,T2100,94.30269
Y2023,Ocak,D17,T2200,99.21409
Y2023,Ocak,D17,T2300,96.80018
Y2023,Ocak,D18,T0000,95.03855
Y2023,Ocak,D18,T0100,96.35973
Y2023,Ocak,D18,T0200,95.123314
Y2023,Ocak,D18,T0300,95.38059
Y2023,Ocak,D18,T0400,96.40754
Y2023,Ocak,D18,T0500,96.1939
Y2023,Ocak,D18,T0600,95.57806
Y2023,Ocak,D18,T0700,96.96301
Y2023,Ocak,D18,T0800,96.75259
Y2023,Ocak,D18,T0900,96.047966
Y2023,Ocak,D18,T1000,93.49469
Y2023,Ocak,D18,T1100,89.82893
Y2023,Ocak,D18,T1200,83.52626
Y2023,Ocak,D18,T1300,82.977036
Y2023,Ocak,D18,T1400,80.870834
Y2023,Ocak,D18,T1500,81.10772
Y2023,Ocak,D18,T1600,81.341934
Y2023,Ocak,D18,T1700,81.66213
Y2023,Ocak,D18,T1800,84.27369
Y2023,Ocak,D18,T1900,85.70453
Y2023,Ocak,D18,T2000,88.2653
Y2023,Ocak,D18,T2100,88.312935
Y2023,Ocak,D18,T2200,84.470856
Y2023,Ocak,D18,T2300,88.04595
Y2023,Ocak,D19,T0000,90.13927
Y2023,Ocak,D19,T0100,89.787964
Y2023,Ocak,D19,T0200,90.5359
Y2023,Ocak,D19,T0300,90.36434
