Yil,Ay,Gun,Saat,Bulut
Y2023,Ocak,D16,T1300,63.0
Y2023,Ocak,D16,T1400,92.0
Y2023,Ocak,D16,T1500,100.0
Y2023,Ocak,D16,T1600,97.0
Y2023,Ocak,D16,T1700,64.0
Y2023,Ocak,D16,T1800,50.0
Y2023,Ocak,D16,T1900,39.0
Y2023,Ocak,D16,T2000,63.0
Y2023,Ocak,D16,T2100,63.0
Y2023,Ocak,D16,T2200,79.0
Y2023,Ocak,D16,T2300,72.0
Y2023,Ocak,D17,T0000,45.0
Y2023,Ocak,D17,T0100,34.0
Y2023,Ocak,D17,T0200,40.0
Y2023,Ocak,D17,T0300,48.0
Y2023,Ocak,D17,T0400,43.0
Y2023,Ocak,D17,T0500,33.0
Y2023,Ocak,D17,T0600,88.0
Y2023,Ocak,D17,T0700,99.0
Y2023,Ocak,D17,T0800,96.0
Y2023,Ocak,D17,T0900,88.0
Y2023,Ocak,D17,T1000,87.0
Y2023,Ocak,D17,T1100,71.0
Y2023,Ocak,D17,T1200,98.0
Y2023,Ocak,D17,T1300,100.0
Y2023,Ocak,D17,T1400,100.0
Y2023,Ocak,D17,T1500,88.0
Y2023,Ocak,D17,T1600,87.0
Y2023,Ocak,D17,T1700,93.0
Y2023,Ocak,D17,T1800,88.0
Y2023,Ocak,D17,T1900,82.0
Y2023,Ocak,D17,T2000,68.0
Y2023,Ocak,D17,T2100,68.0
Y2023,Ocak,D17,T2200,59.0
Y2023,Ocak,D17,T2300,87.0
Y2023,Ocak,D18,T0000,90.0
Y2023,Ocak,D18,T0100,87.0
Y2023,Ocak,D18,T0200,85.0
Y2023,Ocak,D18,T0300,86.0
Y2023,Ocak,D18,T0400,79.0
Y2023,Ocak,D18,T0500,90.0
Y2023,Ocak,D18,T0600,89.0
Y2023,Ocak,D18,T0700,77.0
Y2023,Ocak,D18,T0800,75.0
Y2023,Ocak,D18,T0900,79.0
Y2023,Ocak,D18,T1000,81.0
Y2023,Ocak,D18,T1100,78.0
Y2023,Ocak,D18,T1200,68.0
Y2023,Ocak,D18,T1300,78.0
Y2023,Ocak,D18,T1400,88.0
Y2023,Ocak,D18,T1500,95.0
Y2023,Ocak,D18,T1600,85.0
Y2023,Ocak,D18,T1700,44.0
Y2023,Ocak,D18,T1800,72.0
Y2023,Ocak,D18,T1900,80.0
Y2023,Ocak,D18,T2000,77.0
Y2023,Ocak,D18,T2100,73.0
Y2023,Ocak,D18,T2200,81.0
Y2023,Ocak,D18,T2300,72.0
Y2023,Ocak,D19,T0000,66.0
Y2023,Ocak,D19,T0100,65.0
Y2023,Ocak,D19,T0200,23.0
Y2023,Ocak,D19,T0300,23.0
Y2023,Ocak,D19,T0400,22.0
Y2023,Ocak,D19,T0500,25.0
Y2023,Ocak,D19,T0600,45.0
Y2023,Ocak,D19,T0700,63.0
Y2023,Ocak,D19,T0800,74.0
Y2023,Ocak,D19,T0900,74.0
Y2023,Ocak,D19,T1000,62.0
Y2023,Ocak,D19,T1100,78.0
Y2023,Ocak,D19,T1200,97.0
Y2023,Ocak,D19,T1300,87.0
Y2023,Ocak,D19,T1400,79.0
Y2023,Ocak,D19,T1500,68.0
Y2023,Ocak,D19,T1600,52.0
Y2023,Ocak,D19,T1700,19.0
Y2023,Ocak,D19,T1800,10.0
Y2023,Ocak,D19,T1900,7.0
Y2023,Ocak,D19,T2000,2.0
Y2023,Ocak,D19,T2100,5.0
Y2023,Ocak,D19,T2200,2.0
Y2023,Ocak,D19,T2300,6.0
Y2023,Ocak,D20,T0000,9.6
Y2023,Ocak,D20,T0100,18.6
Y2023,Ocak,D20,T0200,40.0
Y2023,Ocak,D20,T0300,60.0
Y2023,Ocak,D20,T0400,84.0
Y2023,Ocak,D20,T0500,95.0
Y2023,Ocak,D20,T0600,75.0
Y2023,Ocak,D20,T0700,74.0
Y2023,Ocak,D20,T0800,59.0
Y2023,Ocak,D20,T0900,35.0
Y2023,Ocak,D20,T1000,46.0
Y2023,Ocak,D20,T1100,61.0
Y2023,Ocak,D20,T1200,62.0
Y2023,Ocak,D20,T1300,62.0
Y2023,Ocak,D20,T1400,53.0
Y2023,Ocak,D20,T1500,64.0
Y2023,Ocak,D20,T1600,93.0
