Yil,Ay,Gun,Saat,Sicaklik
Y2023,Ocak,D11,T1700,8.590245
Y2023,Ocak,D11,T1800,8.290245
Y2023,Ocak,D11,T1900,7.860245
Y2023,Ocak,D11,T2000,7.8402452
Y2023,Ocak,D11,T2100,7.6002455
Y2023,Ocak,D11,T2200,7.440245
Y2023,Ocak,D11,T2300,7.480245
Y2023,Ocak,D12,T0000,7.4102454
Y2023,Ocak,D12,T0100,7.380245
Y2023,Ocak,D12,T0200,7.650245
Y2023,Ocak,D12,T0300,7.7002454
Y2023,Ocak,D12,T0400,8.020246
Y2023,Ocak,D12,T0500,8.240246
Y2023,Ocak,D12,T0600,8.470245
Y2023,Ocak,D12,T0700,8.430245
Y2023,Ocak,D12,T0800,8.650246
Y2023,Ocak,D12,T0900,8.850245
Y2023,Ocak,D12,T1000,9.0602455
Y2023,Ocak,D12,T1100,9.300245
Y2023,Ocak,D12,T1200,9.740245
Y2023,Ocak,D12,T1300,9.960245
Y2023,Ocak,D12,T1400,10.070246
Y2023,Ocak,D12,T1500,10.010245
Y2023,Ocak,D12,T1600,9.720245
Y2023,Ocak,D12,T1700,9.870245
Y2023,Ocak,D12,T1800,10.080245
Y2023,Ocak,D12,T1900,10.100245
Y2023,Ocak,D12,T2000,10.290245
Y2023,Ocak,D12,T2100,10.410245
Y2023,Ocak,D12,T2200,10.600245
Y2023,Ocak,D12,T2300,10.720245
Y2023,Ocak,D13,T0000,10.510245
Y2023,Ocak,D13,T0100,10.440246
Y2023,Ocak,D13,T0200,10.180245
Y2023,Ocak,D13,T0300,9.930245
Y2023,Ocak,D13,T0400,9.570246
Y2023,Ocak,D13,T0500,9.530245
Y2023,Ocak,D13,T0600,9.700245
Y2023,Ocak,D13,T0700,9.780245
Y2023,Ocak,D13,T0800,9.660245
Y2023,Ocak,D13,T0900,9.550245
Y2023,Ocak,D13,T1000,9.400246
Y2023,Ocak,D13,T1100,9.3102455
Y2023,Ocak,D13,T1200,9.550245
Y2023,Ocak,D13,T1300,9.320246
Y2023,Ocak,D13,T1400,9.570246
Y2023,Ocak,D13,T1500,8.750245
Y2023,Ocak,D13,T1600,8.130245
Y2023,Ocak,D13,T1700,7.6202455
Y2023,Ocak,D13,T1800,7.7202454
Y2023,Ocak,D13,T1900,7.7202454
Y2023,Ocak,D13,T2000,7.770245
