Yil,Ay,Gun,Saat,Ruzgar Hizi,Ruzgar Yonu
Y2023,Ocak,D06,T1900,44.631287,245.70905
Y2023,Ocak,D06,T2000,44.52954,247.16635
Y2023,Ocak,D06,T2100,44.53682,249.66078
Y2023,Ocak,D06,T2200,43.6551,248.72504
Y2023,Ocak,D06,T2300,43.189495,248.99678
Y2023,Ocak,D07,T0000,42.87628,246.2329
Y2023,Ocak,D07,T0100,44.936592,241.79251
Y2023,Ocak,D07,T0200,46.060303,238.42183
Y2023,Ocak,D07,T0300,46.727947,236.30994
Y2023,Ocak,D07,T0400,47.83667,235.11395
Y2023,Ocak,D07,T0500,49.971317,233.79054
Y2023,Ocak,D07,T0600,53.076504,231.88643
Y2023,Ocak,D07,T0700,56.84125,231.17018
Y2023,Ocak,D07,T0800,59.549267,232.36806
Y2023,Ocak,D07,T0900,58.46759,233.76514
Y2023,Ocak,D07,T1000,61.804775,236.4025
Y2023,Ocak,D07,T1100,59.52314,239.86829
Y2023,Ocak,D07,T1200,55.77212,240.6221
Y2023,Ocak,D07,T1300,59.418537,237.36906
Y2023,Ocak,D07,T1400,63.250473,231.23834
Y2023,Ocak,D07,T1500,67.25355,232.39401
Y2023,Ocak,D07,T1600,68.41136,239.65675
Y2023,Ocak,D07,T1700,67.5084,237.41164
Y2023,Ocak,D07,T1800,68.84288,234.14885
Y2023,Ocak,D07,T1900,68.37536,228.84245
Y2023,Ocak,D07,T2000,66.23412,227.2026
Y2023,Ocak,D07,T2100,63.3692,232.15356
Y2023,Ocak,D07,T2200,62.65448,223.13737
Y2023,Ocak,D07,T2300,61.70614,221.68906
Y2023,Ocak,D08,T0000,63.65488,219.7226
Y2023,Ocak,D08,T0100,68.4,216.8699
Y2023,Ocak,D08,T0200,68.04381,217.47618
Y2023,Ocak,D08,T0300,69.69604,216.81071
Y2023,Ocak,D08,T0400,73.90792,222.23615
Y2023,Ocak,D08,T0500,79.28177,230.52754
Y2023,Ocak,D08,T0600,76.09551,237.36249
Y2023,Ocak,D08,T0700,66.33775,244.26929
Y2023,Ocak,D08,T0800,59.894306,242.8189
Y2023,Ocak,D08,T0900,62.245655,240.17291
Y2023,Ocak,D08,T1000,58.674477,240.60394
Y2023,Ocak,D08,T1100,52.348755,241.67256
Y2023,Ocak,D08,T1200,55.75353,238.46521
Y2023,Ocak,D08,T1300,57.69442,240.87595
Y2023,Ocak,D08,T1400,57.153896,243.43495
Y2023,Ocak,D08,T1500,47.169617,238.73627
Y2023,Ocak,D08,T1600,42.05842,234.4053
Y2023,Ocak,D08,T1700,44.952454,238.09189
Y2023,Ocak,D08,T1800,51.82625,237.19304
Y2023,Ocak,D08,T1900,62.206085,235.85011
Y2023,Ocak,D08,T2000,72.30535,231.87482
Y2023,Ocak,D08,T2100,74.59648,225.97765
Y2023,Ocak,D08,T2200,73.73939,243.93533
Y2023,Ocak,D08,T2300,75.264114,250.43835
Y2023,Ocak,D09,T0000,65.35958,250.3674
Y2023,Ocak,D09,T0100,65.52099,254.0546
Y2023,Ocak,D09,T0200,76.119354,259.64667
Y2023,Ocak,D09,T0300,71.28091,270.28937
Y2023,Ocak,D09,T0400,65.90459,271.56506
Y2023,Ocak,D09,T0500,62.639996,270.0
Y2023,Ocak,D09,T0600,62.40576,266.36182
Y2023,Ocak,D09,T0700,61.352283,265.96228
Y2023,Ocak,D09,T0800,59.79252,263.43124
Y2023,Ocak,D09,T0900,58.957626,259.44482
Y2023,Ocak,D09,T1000,65.3457,251.36542
Y2023,Ocak,D09,T1100,63.41316,257.54175
Y2023,Ocak,D09,T1200,62.424458,262.71106
Y2023,Ocak,D09,T1300,62.677227,268.0251
Y2023,Ocak,D09,T1400,60.227688,273.4268
Y2023,Ocak,D09,T1500,56.812744,275.81897
Y2023,Ocak,D09,T1600,54.14979,285.42218
Y2023,Ocak,D09,T1700,53.22646,293.09683
Y2023,Ocak,D09,T1800,51.68226,296.0296
Y2023,Ocak,D09,T1900,47.5009,295.59402
Y2023,Ocak,D09,T2000,46.32963,292.38013
Y2023,Ocak,D09,T2100,50.396145,295.8329
Y2023,Ocak,D09,T2200,54.531384,305.054
Y2023,Ocak,D09,T2300,52.45757,309.1511
Y2023,Ocak,D10,T0000,48.33796,304.99203
Y2023,Ocak,D10,T0100,44.740047,304.84094
Y2023,Ocak,D10,T0200,41.2636,305.7701
Y2023,Ocak,D10,T0300,40.199284,308.82007
Y2023,Ocak,D10,T0400,37.950554,313.07806
Y2023,Ocak,D10,T0500,35.64182,314.18158
Y2023,Ocak,D10,T0600,33.60557,314.13196
Y2023,Ocak,D10,T0700,34.114628,314.1449
Y2023,Ocak,D10,T0800,32.862694,317.21967
Y2023,Ocak,D10,T0900,31.820824,314.54163
Y2023,Ocak,D10,T1000,23.113008,322.59467
Y2023,Ocak,D10,T1100,23.904108,307.04248
Y2023,Ocak,D10,T1200,26.089447,297.9795
Y2023,Ocak,D10,T1300,30.274265,295.3462
Y2023,Ocak,D10,T1400,37.029285,296.56506
Y2023,Ocak,D10,T1500,40.743664,297.92358
Y2023,Ocak,D10,T1600,47.335552,297.1497
Y2023,Ocak,D10,T1700,54.477882,299.27527
Y2023,Ocak,D10,T1800,48.1553,298.0977
Y2023,Ocak,D10,T1900,44.39108,292.4054
Y2023,Ocak,D10,T2000,46.35061,289.98312
Y2023,Ocak,D10,T2100,46.60853,293.1986
Y2023,Ocak,D10,T2200,38.221085,273.2397
Y2023,Ocak,D10,T2300,42.51812,267.57367
Y2023,Ocak,D11,T0000,47.88541,270.8615
Y2023,Ocak,D11,T0100,49.69174,271.24536
Y2023,Ocak,D11,T0200,51.851246,268.80652
Y2023,Ocak,D11,T0300,55.122337,267.75427
Y2023,Ocak,D11,T0400,55.09882,268.5024
Y2023,Ocak,D11,T0500,53.64483,269.231
Y2023,Ocak,D11,T0600,51.491325,268.79816
Y2023,Ocak,D11,T0700,50.555332,265.50742
Y2023,Ocak,D11,T0800,52.085667,261.25385
Y2023,Ocak,D11,T0900,55.422462,258.76306
Y2023,Ocak,D11,T1000,58.852013,246.57132
Y2023,Ocak,D11,T1100,65.85245,247.50061
Y2023,Ocak,D11,T1200,74.23074,257.10953
Y2023,Ocak,D11,T1300,70.82125,262.40536
Y2023,Ocak,D11,T1400,59.04987,268.95203
Y2023,Ocak,D11,T1500,54.73894,271.50745
Y2023,Ocak,D11,T1600,54.019196,268.47247
Y2023,Ocak,D11,T1700,52.737232,265.30133
Y2023,Ocak,D11,T1800,50.420567,268.36343
Y2023,Ocak,D11,T1900,46.452553,271.3322
Y2023,Ocak,D11,T2000,43.56595,270.94696
Y2023,Ocak,D11,T2100,45.38285,268.1817
Y2023,Ocak,D11,T2200,52.70897,274.30865
Y2023,Ocak,D11,T2300,54.477882,277.59464
Y2023,Ocak,D12,T0000,53.911125,275.74866
Y2023,Ocak,D12,T0100,54.561085,274.92062
Y2023,Ocak,D12,T0200,52.57972,271.56937
Y2023,Ocak,D12,T0300,53.284863,269.22577
Y2023,Ocak,D12,T0400,57.26829,268.19885
Y2023,Ocak,D12,T0500,59.06743,271.74628
Y2023,Ocak,D12,T0600,66.146996,287.7447
Y2023,Ocak,D12,T0700,72.345665,286.18036
Y2023,Ocak,D12,T0800,73.49733,281.58514
Y2023,Ocak,D12,T0900,73.094185,279.92624
Y2023,Ocak,D12,T1000,71.40172,276.6592
Y2023,Ocak,D12,T1100,72.3591,275.7106
Y2023,Ocak,D12,T1200,73.21554,278.76758
Y2023,Ocak,D12,T1300,73.72533,275.04245
Y2023,Ocak,D12,T1400,73.44353,269.4383
Y2023,Ocak,D12,T1500,78.123314,269.47192
Y2023,Ocak,D12,T1600,81.007195,270.76392
Y2023,Ocak,D12,T1700,78.120834,269.73596
Y2023,Ocak,D12,T1800,74.5904,267.51044
Y2023,Ocak,D12,T1900,69.80009,261.9953
Y2023,Ocak,D12,T2000,69.48653,259.85446
Y2023,Ocak,D12,T2100,66.54062,256.86597
Y2023,Ocak,D12,T2200,75.83108,252.59729
Y2023,Ocak,D12,T2300,79.19509,255.52158
Y2023,Ocak,D13,T0000,74.04457,256.50427
Y2023,Ocak,D13,T0100,69.77873,260.1975
Y2023,Ocak,D13,T0200,67.38542,263.5584
Y2023,Ocak,D13,T0300,65.35462,265.5771
Y2023,Ocak,D13,T0400,64.58464,266.16467
Y2023,Ocak,D13,T0500,61.858223,261.63412
Y2023,Ocak,D13,T0600,65.42201,262.09283
Y2023,Ocak,D13,T0700,72.29639,258.80197
Y2023,Ocak,D13,T0800,76.119354,259.64667
Y2023,Ocak,D13,T0900,74.2831,261.3594
Y2023,Ocak,D13,T1000,72.97352,260.6306
Y2023,Ocak,D13,T1100,70.32635,257.88477
Y2023,Ocak,D13,T1200,63.980816,259.95468
Y2023,Ocak,D13,T1300,67.32096,270.3064
Y2023,Ocak,D13,T1400,63.745422,268.3819
Y2023,Ocak,D13,T1500,69.45761,264.3485
Y2023,Ocak,D13,T1600,72.61834,265.1656
Y2023,Ocak,D13,T1700,69.51356,271.78064
Y2023,Ocak,D13,T1800,61.314243,279.46234
Y2023,Ocak,D13,T1900,56.931244,284.65137
Y2023,Ocak,D13,T2000,53.109455,285.732
Y2023,Ocak,D13,T2100,50.816135,283.9378
Y2023,Ocak,D13,T2200,46.102493,271.78992
Y2023,Ocak,D13,T2300,44.757423,274.15128
Y2023,Ocak,D14,T0000,42.150757,280.83008
Y2023,Ocak,D14,T0100,44.832645,281.58063
Y2023,Ocak,D14,T0200,49.41975,284.33994
Y2023,Ocak,D14,T0300,51.87124,294.60852
Y2023,Ocak,D14,T0400,53.30189,297.77655
Y2023,Ocak,D14,T0500,47.97734,296.75732
Y2023,Ocak,D14,T0600,43.259956,288.43497
Y2023,Ocak,D14,T0700,50.765106,270.81265
Y2023,Ocak,D14,T0800,57.479496,261.71765
Y2023,Ocak,D14,T0900,63.188976,258.49802
Y2023,Ocak,D14,T1000,62.98457,257.7909
Y2023,Ocak,D14,T1100,72.84198,254.52136
Y2023,Ocak,D14,T1200,73.662895,252.362
Y2023,Ocak,D14,T1300,71.386284,252.38742
Y2023,Ocak,D14,T1400,77.64074,254.67499
Y2023,Ocak,D14,T1500,83.69129,250.3959
Y2023,Ocak,D14,T1600,84.51954,246.9296
Y2023,Ocak,D14,T1700,88.26389,241.76256
Y2023,Ocak,D14,T1800,87.69012,246.27634
Y2023,Ocak,D14,T1900,73.27127,260.95422
Y2023,Ocak,D14,T2000,66.31235,263.4537
Y2023,Ocak,D14,T2100,71.15352,252.0234
Y2023,Ocak,D14,T2200,85.79563,246.76984
