location,Basel
lat,47.75000
lon,7.50000
asl,363.653
variable,Cloud Cover Total
unit,%
level,sfc
resolution,hourly
aggregation,None
timestamp,Basel Cloud Cover Total
20230118T0100,87.0
20230118T0200,85.0
20230118T0300,86.0
20230118T0400,79.0
20230118T0500,90.0
20230118T0600,89.0
20230118T0700,77.0
20230118T0800,75.0
20230118T0900,79.0
20230118T1000,81.0
20230118T1100,78.0
20230118T1200,68.0
20230118T1300,78.0
20230118T1400,88.0
20230118T1500,95.0
20230118T1600,85.0
20230118T1700,44.0
20230118T1800,72.0
20230118T1900,80.0
20230118T2000,77.0
20230118T2100,73.0
20230118T2200,81.0
20230118T2300,72.0
20230119T0000,66.0
20230119T0100,65.0
20230119T0200,23.0
20230119T0300,23.0
20230119T0400,22.0
20230119T0500,25.0
20230119T0600,45.0
20230119T0700,63.0
20230119T0800,74.0
20230119T0900,74.0
20230119T1000,62.0
20230119T1100,78.0
20230119T1200,97.0
20230119T1300,87.0
20230119T1400,79.0
20230119T1500,68.0
20230119T1600,52.0
20230119T1700,19.0
20230119T1800,10.0
20230119T1900,7.0
20230119T2000,2.0
20230119T2100,5.0
20230119T2200,2.0
20230119T2300,6.0
20230120T0000,9.6
20230120T0100,18.6
20230120T0200,40.0
20230120T0300,60.0
20230120T0400,84.0
20230120T0500,95.0
20230120T0600,75.0
20230120T0700,74.0
20230120T0800,59.0
20230120T0900,35.0
20230120T1000,46.0
20230120T1100,61.0
20230120T1200,62.0
20230120T1300,62.0
20230120T1400,53.0
20230120T1500,64.0
20230120T1600,93.0
20230120T1700,57.0
20230120T1800,87.0
20230120T1900,98.0
20230120T2000,96.0
20230120T2100,99.0
20230120T2200,88.0
20230120T2300,100.0
20230121T0000,100.0
20230121T0100,88.0
20230121T0200,93.0
20230121T0300,96.0
20230121T0400,89.0
20230121T0500,88.0
20230121T0600,51.0
20230121T0700,32.0
20230121T0800,61.0
20230121T0900,81.0
20230121T1000,79.0
20230121T1100,62.0
20230121T1200,54.0
20230121T1300,71.0
20230121T1400,75.0
20230121T1500,47.0
20230121T1600,51.0
20230121T1700,62.0
20230121T1800,71.0
20230121T1900,78.0
20230121T2000,65.0
20230121T2100,73.0
20230121T2200,94.0
20230121T2300,97.0
20230122T0000,83.0
20230122T0100,90.0
20230122T0200,92.0
20230122T0300,96.0
20230122T0400,98.0
20230122T0500,97.0
20230122T0600,96.0
20230122T0700,93.0
20230122T0800,85.0
20230122T0900,95.0
20230122T1000,45.0
20230122T1100,67.0
20230122T1200,88.0
20230122T1300,86.0
20230122T1400,75.0
20230122T1500,54.0
20230122T1600,63.0
20230122T1700,62.0
20230122T1800,74.0
20230122T1900,67.0
20230122T2000,72.0
20230122T2100,27.0
20230122T2200,72.0
20230122T2300,44.0
20230123T0000,48.0
20230123T0100,54.0
20230123T0200,52.0
20230123T0300,57.0
20230123T0400,77.0
20230123T0500,88.0
20230123T0600,86.0
20230123T0700,89.0
20230123T0800,85.0
20230123T0900,73.0
20230123T1000,90.0
20230123T1100,92.0
20230123T1200,92.0
20230123T1300,89.0
20230123T1400,81.0
20230123T1500,86.0
20230123T1600,90.0
20230123T1700,96.0
20230123T1800,96.0
20230123T1900,96.0
20230123T2000,90.0
20230123T2100,92.0
20230123T2200,85.0
20230123T2300,86.0
20230124T0000,97.0
20230124T0100,87.0
20230124T0200,90.0
20230124T0300,91.0
20230124T0400,90.0
20230124T0500,83.0
20230124T0600,64.0
20230124T0700,54.0
20230124T0800,58.0
20230124T0900,53.0
20230124T1000,81.0
20230124T1100,68.0
20230124T1200,78.0
20230124T1300,87.0
20230124T1400,82.0
20230124T1500,65.0
20230124T1600,71.0
20230124T1700,61.0
20230124T1800,59.0
20230124T1900,63.0
20230124T2000,67.0
20230124T2100,58.0
20230124T2200,81.0
20230124T2300,77.0
20230125T0000,80.0
20230125T0100,82.0
20230125T0200,79.0
20230125T0300,81.0
20230125T0400,81.0
20230125T0500,85.0
20230125T0600,84.0
20230125T0700,74.0
20230125T0800,69.0
20230125T0900,78.0
20230125T1000,84.0
20230125T1100,91.0
20230125T1200,90.0
20230125T1300,90.0
20230125T1400,89.0
20230125T1500,89.0
20230125T1600,74.0
20230125T1700,59.0
20230125T1800,47.0
20230125T1900,31.0
20230125T2000,42.0
20230125T2100,52.0
20230125T2200,83.0
20230125T2300,86.0
20230126T0000,89.0
20230126T0100,86.0
20230126T0200,82.0
20230126T0300,69.0
20230126T0400,72.0
20230126T0500,79.0
20230126T0600,86.0
20230126T0700,80.0
20230126T0800,84.0
20230126T0900,85.0
20230126T1000,87.0
20230126T1100,87.0
20230126T1200,86.0
20230126T1300,88.0
20230126T1400,94.0
20230126T1500,88.0
20230126T1600,81.0
20230126T1700,83.0
20230126T1800,75.0
20230126T1900,69.0
20230126T2000,63.0
