location,Basel
lat,47.75000
lon,7.50000
asl,363.653
variable,Relative Humidity
unit,%
level,2 m
resolution,hourly
aggregation,None
timestamp,Basel Relative Humidity [2 m]
20180108T1300,83.47339
20180108T1400,85.08841
20180108T1500,92.8505
20180108T1600,95.26628
20180108T1700,97.34604
20180108T1800,98.217674
20180108T1900,97.65184
20180108T2000,96.68484
20180108T2100,95.93427
20180108T2200,93.85924
20180108T2300,93.90319
20180109T0000,94.554756
20180109T0100,92.621994
20180109T0200,93.80262
20180109T0300,92.57346
20180109T0400,94.184166
20180109T0500,94.64741
20180109T0600,94.512764
20180109T0700,94.707504
20180109T0800,93.431046
20180109T0900,92.27598
20180109T1000,93.12907
20180109T1100,88.17801
20180109T1200,84.765656
20180109T1300,85.61865
20180109T1400,86.78806
20180109T1500,86.60293
20180109T1600,88.81763
20180109T1700,91.93994
20180109T1800,92.72911
20180109T1900,93.733925
20180109T2000,94.97712
20180109T2100,96.18039
20180109T2200,95.57731
20180109T2300,95.6401
20180110T0000,96.09225
20180110T0100,96.69555
20180110T0200,95.99607
20180110T0300,96.38502
20180110T0400,96.78324
20180110T0500,97.19163
20180110T0600,95.77326
20180110T0700,96.16383
20180110T0800,96.111626
20180110T0900,92.984985
20180110T1000,91.82129
20180110T1100,92.02813
20180110T1200,91.06594
20180110T1300,89.7734
20180110T1400,88.36703
20180110T1500,85.269295
20180110T1600,90.85213
20180110T1700,93.01581
20180110T1800,95.36606
20180110T1900,97.39212
20180110T2000,98.08249
20180110T2100,98.42736
20180110T2200,96.07763
20180110T2300,96.218994
20180111T0000,96.28852
20180111T0100,96.35582
20180111T0200,95.82196
20180111T0300,96.232315
20180111T0400,96.62964
20180111T0500,96.482666
20180111T0600,96.38917
20180111T0700,96.24526
20180111T0800,96.11241
20180111T0900,94.4191
20180111T1000,90.07401
20180111T1100,86.62897
20180111T1200,81.842926
20180111T1300,80.81614
20180111T1400,82.70961
20180111T1500,85.247696
20180111T1600,93.03741
20180111T1700,95.83272
20180111T1800,96.82279
20180111T1900,97.57049
20180111T2000,97.284836
20180111T2100,97.14359
20180111T2200,95.78068
20180111T2300,95.29526
20180112T0000,95.616066
20180112T0100,95.79728
20180112T0200,95.86477
20180112T0300,95.33035
20180112T0400,94.39764
20180112T0500,94.19529
20180112T0600,93.59827
20180112T0700,92.755585
20180112T0800,91.39046
20180112T0900,92.25556
20180112T1000,88.35095
20180112T1100,88.30249
20180112T1200,87.00935
20180112T1300,86.46917
20180112T1400,85.81929
20180112T1500,86.18528
20180112T1600,88.12444
20180112T1700,90.85791
20180112T1800,90.79182
20180112T1900,89.07865
20180112T2000,87.70744
20180112T2100,88.631874
20180112T2200,90.589645
20180112T2300,89.83659
20180113T0000,86.50241
20180113T0100,86.836624
20180113T0200,86.58035
20180113T0300,87.12817
20180113T0400,87.71601
20180113T0500,87.36077
20180113T0600,86.94339
20180113T0700,86.98357
20180113T0800,86.30333
20180113T0900,82.98859
20180113T1000,72.82321
20180113T1100,69.81852
20180113T1200,68.95659
20180113T1300,67.96952
20180113T1400,68.610794
20180113T1500,71.01396
20180113T1600,75.40885
20180113T1700,80.287575
20180113T1800,84.21188
20180113T1900,85.74425
20180113T2000,86.885185
20180113T2100,87.33979
20180113T2200,85.67739
20180113T2300,87.92649
20180114T0000,89.19952
20180114T0100,90.612816
20180114T0200,91.887314
20180114T0300,92.3558
20180114T0400,93.24888
20180114T0500,94.05921
20180114T0600,94.27861
20180114T0700,94.08327
20180114T0800,92.77763
20180114T0900,89.95078
20180114T1000,87.87861
20180114T1100,87.23072
20180114T1200,83.94106
20180114T1300,81.70287
20180114T1400,80.95405
20180114T1500,82.70889
20180114T1600,79.17764
20180114T1700,86.33553
20180114T1800,88.10193
20180114T1900,89.301285
20180114T2000,90.67639
20180114T2100,90.07014
20180114T2200,89.27712
20180114T2300,89.732315
20180115T0000,89.525696
20180115T0100,89.30867
20180115T0200,89.29802
20180115T0300,89.4974
20180115T0400,90.291245
20180115T0500,90.892715
20180115T0600,92.52331
20180115T0700,91.71631
20180115T0800,90.1202
20180115T0900,88.88548
20180115T1000,86.617096
20180115T1100,82.30797
20180115T1200,78.52815
20180115T1300,77.200325
20180115T1400,72.76713
20180115T1500,70.25606
20180115T1600,71.211235
20180115T1700,79.22037
20180115T1800,81.125496
20180115T1900,83.27447
20180115T2000,86.14091
20180115T2100,85.98995
20180115T2200,83.355
20180115T2300,80.48505
20180116T0000,79.22914
20180116T0100,79.12308
20180116T0200,79.12785
20180116T0300,78.91627
20180116T0400,78.519295
20180116T0500,81.505745
20180116T0600,79.8705
20180116T0700,81.27242
20180116T0800,81.06519
20180116T0900,81.011696
20180116T1000,83.26695
20180116T1100,83.94014
20180116T1200,81.74625
20180116T1300,77.71387
20180116T1400,75.72969
20180116T1500,76.64647
20180116T1600,82.41653
20180116T1700,83.78582
20180116T1800,84.89438
20180116T1900,82.23668
20180116T2000,81.12478
20180116T2100,82.33468
20180116T2200,83.63767
20180116T2300,85.98553
20180117T0000,83.91753
20180117T0100,80.57387
20180117T0200,78.979805
20180117T0300,82.13999
20180117T0400,81.71938
20180117T0500,77.92299
20180117T0600,76.468414
20180117T0700,73.42029
20180117T0800,74.11258
20180117T0900,80.42363
20180117T1000,85.15401
20180117T1100,85.666435
20180117T1200,78.69311
20180117T1300,68.527084
20180117T1400,72.013466
20180117T1500,74.98295
20180117T1600,72.944885
20180117T1700,68.8195
20180117T1800,73.05806
20180117T1900,72.944885
20180117T2000,76.87369
20180117T2100,78.92636
20180117T2200,75.664406
20180117T2300,81.92825
20180118T0000,79.99066
20180118T0100,78.35606
20180118T0200,83.60544
20180118T0300,85.2829
20180118T0400,86.294586
20180118T0500,88.37049
20180118T0600,89.46861
20180118T0700,91.0216
20180118T0800,91.19092
20180118T0900,90.1981
20180118T1000,86.118095
20180118T1100,85.453125
20180118T1200,83.76105
20180118T1300,81.75667
20180118T1400,80.45138
20180118T1500,81.73377
20180118T1600,82.57608
20180118T1700,81.84091
20180118T1800,82.59939
20180118T1900,82.86616
20180118T2000,86.99179
20180118T2100,89.45144
20180118T2200,89.04211
20180118T2300,89.04116
20180119T0000,88.19156
20180119T0100,88.902534
20180119T0200,85.5622
20180119T0300,81.03751
20180119T0400,81.98875
20180119T0500,82.1372
20180119T0600,80.0815
20180119T0700,77.78723
20180119T0800,77.34706
20180119T0900,73.56276
20180119T1000,72.47083
20180119T1100,68.10598
20180119T1200,66.91099
20180119T1300,67.41813
20180119T1400,70.23678
20180119T1500,73.38059
20180119T1600,75.07341
20180119T1700,78.68817
20180119T1800,82.28386
20180119T1900,84.29608
20180119T2000,87.69211
20180119T2100,87.116165
20180119T2200,84.25296
20180119T2300,84.36031
20180120T0000,84.5345
20180120T0100,85.07177
20180120T0200,83.021454
20180120T0300,81.17998
20180120T0400,80.50125
20180120T0500,80.74664
20180120T0600,82.57997
20180120T0700,84.64833
20180120T0800,86.81583
20180120T0900,87.10126
20180120T1000,85.729614
20180120T1100,80.54834
20180120T1200,74.377335
20180120T1300,74.46909
20180120T1400,76.21132
20180120T1500,83.81236
20180120T1600,87.599266
20180120T1700,90.73079
20180120T1800,92.4255
20180120T1900,93.62607
20180120T2000,92.25523
20180120T2100,90.57553
20180120T2200,91.23369
20180120T2300,91.16643
20180121T0000,88.852806
20180121T0100,86.20055
20180121T0200,84.50471
20180121T0300,84.07674
20180121T0400,85.66296
20180121T0500,83.466675
20180121T0600,81.81384
20180121T0700,81.46588
20180121T0800,80.89188
20180121T0900,79.21377
20180121T1000,76.27244
20180121T1100,71.70672
20180121T1200,71.465546
20180121T1300,71.3702
20180121T1400,71.758705
20180121T1500,74.67699
20180121T1600,78.65495
20180121T1700,82.158134
20180121T1800,83.78255
20180121T1900,86.23
20180121T2000,89.29844
20180121T2100,91.82238
20180121T2200,93.593094
20180121T2300,94.75143
20180122T0000,95.384674
20180122T0100,94.43385
20180122T0200,95.94612
20180122T0300,96.12288
20180122T0400,95.82177
20180122T0500,95.13284
20180122T0600,95.73187
20180122T0700,96.19785
20180122T0800,95.69406
20180122T0900,96.024765
20180122T1000,96.219
20180122T1100,95.70301
20180122T1200,94.307526
20180122T1300,94.29531
20180122T1400,93.812775
