location,Basel,Basel
lat,47.75000,47.75000
lon,7.50000,7.50000
asl,363.653,363.653
variable,Wind Speed,Wind Direction
unit,km/h,°
level,10 m,10 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20180115T2100,24.66197,213.69006
20180115T2200,20.371038,226.4321
20180115T2300,24.946726,225.0
20180116T0000,26.826641,220.1009
20180116T0100,26.478971,223.8983
20180116T0200,24.72495,222.04922
20180116T0300,24.014996,220.1355
20180116T0400,25.812277,219.90788
20180116T0500,28.019936,222.91745
20180116T0600,27.776047,227.6264
20180116T0700,28.227304,232.2532
20180116T0800,27.381308,230.8696
20180116T0900,28.394392,230.65948
20180116T1000,23.188583,242.24146
20180116T1100,23.363974,236.30994
20180116T1200,25.567604,237.65256
20180116T1300,27.276978,247.49649
20180116T1400,26.758923,252.78394
20180116T1500,23.584808,257.66092
20180116T1600,16.311613,247.96378
20180116T1700,15.778518,242.85033
20180116T1800,16.981165,237.99463
20180116T1900,19.995398,246.66595
20180116T2000,21.175835,252.18112
20180116T2100,21.129883,256.2005
20180116T2200,10.464797,243.43495
20180116T2300,13.237038,225.0
20180117T0000,17.10284,229.2679
20180117T0100,20.12461,243.43495
20180117T0200,22.450264,254.18082
20180117T0300,22.206486,253.03384
20180117T0400,23.241617,253.81079
20180117T0500,24.098497,256.17136
20180117T0600,25.050413,262.5686
20180117T0700,24.858253,259.992
20180117T0800,25.455843,261.8699
20180117T0900,24.798225,260.81116
20180117T1000,14.494192,255.61862
20180117T1100,16.516901,249.59012
20180117T1200,19.008547,245.37643
20180117T1300,24.648829,263.29016
20180117T1400,22.392462,265.38934
20180117T1500,19.64558,256.2184
20180117T1600,18.25026,247.98871
20180117T1700,19.353138,251.56506
20180117T1800,19.469975,250.55997
20180117T1900,18.919704,248.80594
20180117T2000,17.727943,240.83238
20180117T2100,16.992609,233.61565
20180117T2200,13.104198,217.18471
20180117T2300,14.982228,215.21759
20180118T0000,17.148247,219.03552
20180118T0100,18.161278,219.36932
20180118T0200,18.289274,216.1932
20180118T0300,19.228851,218.15723
20180118T0400,21.313093,217.45058
20180118T0500,23.688984,216.34746
20180118T0600,25.488914,216.38435
20180118T0700,27.943514,218.19868
20180118T0800,28.528723,222.95459
20180118T0900,28.510544,225.0
20180118T1000,19.373219,221.98721
20180118T1100,24.696102,216.70285
20180118T1200,27.579382,215.97238
20180118T1300,29.598919,221.05481
20180118T1400,29.52878,225.0
20180118T1500,28.775238,226.52077
20180118T1600,27.567635,229.23639
20180118T1700,27.887802,230.76263
20180118T1800,27.103003,230.38931
20180118T1900,25.305208,230.19443
20180118T2000,24.29133,230.41187
20180118T2100,23.617756,232.43141
20180118T2200,13.202726,244.13365
20180118T2300,14.081477,237.52881
20180119T0000,16.610792,240.1011
20180119T0100,18.58451,248.4047
20180119T0200,18.079027,257.34744
20180119T0300,16.75064,261.34747
20180119T0400,15.5843,263.3675
20180119T0500,14.799459,265.8151
20180119T0600,12.324414,263.29016
20180119T0700,11.525623,255.52971
20180119T0800,13.450708,254.47589
20180119T0900,13.441071,249.62357
20180119T1000,11.91812,244.98311
20180119T1100,11.91812,244.98311
20180119T1200,12.904882,239.85861
20180119T1300,14.168641,242.78389
20180119T1400,13.527572,244.79889
20180119T1500,11.753877,242.65013
20180119T1600,10.1887,237.99463
20180119T1700,11.4862,237.80426
20180119T1800,12.24,241.92752
20180119T1900,11.770403,246.57132
20180119T2000,12.0694,252.64598
20180119T2100,12.0694,252.64598
20180119T2200,11.966954,223.78113
20180119T2300,12.218805,225.0
20180120T0000,12.218805,225.0
20180120T0100,11.4862,212.19574
20180120T0200,12.397806,205.821
20180120T0300,12.413477,209.53879
20180120T0400,12.7279215,208.73979
20180120T0500,13.089354,211.50427
20180120T0600,13.089354,211.50427
20180120T0700,13.0447235,207.97948
20180120T0800,12.879752,206.56505
20180120T0900,13.527572,205.20113
20180120T1000,9.47012,188.74615
20180120T1100,11.928989,185.19443
20180120T1200,14.440443,184.28915
20180120T1300,14.05845,177.06433
20180120T1400,16.575644,182.48955
20180120T1500,17.227419,190.8403
20180120T1600,19.721298,201.41296
20180120T1700,22.828087,217.95422
20180120T1800,25.364037,235.40771
20180120T1900,23.710857,239.93143
20180120T2000,20.497883,239.3814
20180120T2100,19.66536,246.2505
20180120T2200,8.654986,253.07248
20180120T2300,9.114471,279.09027
20180121T0000,13.570615,291.8014
20180121T0100,14.654254,297.8241
20180121T0200,13.049689,294.44397
20180121T0300,12.57426,293.6294
20180121T0400,11.177405,284.93143
20180121T0500,10.24578,288.43494
20180121T0600,11.113451,294.90475
20180121T0700,10.990322,301.6075
20180121T0800,10.514218,308.04706
20180121T0900,10.086427,304.8245
20180121T1000,8.161764,311.42368
20180121T1100,5.634891,296.56506
20180121T1200,8.089993,290.85446
20180121T1300,7.0911775,293.9625
20180121T1400,3.6179552,264.28943
20180121T1500,2.2768397,251.56506
20180121T1600,3.6,180.0
20180121T1700,3.6179552,174.28941
20180121T1800,4.829907,153.43495
20180121T1900,6.696387,143.74615
20180121T2000,7.5942082,148.57043
20180121T2100,7.9036193,149.93141
20180121T2200,9.178235,138.17982
20180121T2300,11.4862,147.80426
20180122T0000,10.086427,145.1755
20180122T0100,9.028754,156.50143
20180122T0200,8.669949,184.76364
20180122T0300,13.608762,217.47618
20180122T0400,18.440998,231.3402
20180122T0500,19.171478,235.71313
20180122T0600,18.0,233.1301
20180122T0700,17.339897,228.36647
20180122T0800,17.610588,229.14462
20180122T0900,16.563911,222.35745
20180122T1000,12.768586,220.42609
20180122T1100,11.923557,208.88658
20180122T1200,14.336861,208.49564
20180122T1300,16.299694,210.52971
20180122T1400,21.38897,226.36392
20180122T1500,24.967497,241.58734
20180122T1600,22.657131,252.42874
20180122T1700,19.586117,252.89728
20180122T1800,16.520823,258.69006
20180122T1900,14.05845,272.93567
20180122T2000,10.829959,285.42218
20180122T2100,13.397612,300.6997
20180122T2200,6.162207,263.29016
20180122T2300,7.342588,281.30994
20180123T0000,7.2805495,278.53076
20180123T0100,8.287822,272.48956
20180123T0200,7.5170207,286.69925
20180123T0300,6.193674,234.46233
20180123T0400,5.1165614,219.28941
20180123T0500,5.00128,210.25644
20180123T0600,5.6920996,198.43495
20180123T0700,5.2416787,195.9454
20180123T0800,5.506941,191.30994
20180123T0900,6.792466,212.00539
20180123T1000,7.145796,220.91438
20180123T1100,7.928177,230.52754
20180123T1200,9.339208,242.44719
20180123T1300,8.891343,238.24052
20180123T1400,8.4963045,233.61565
20180123T1500,6.8777895,222.8789
20180123T1600,5.154415,204.77515
20180123T1700,6.5693827,189.46233
20180123T1800,6.12,180.0
20180123T1900,5.771239,176.42366
20180123T2000,6.519877,173.6598
20180123T2100,7.2805495,171.46924
20180123T2200,7.2359104,174.28941
20180123T2300,7.2359104,174.28941
20180124T0000,6.87779,173.991
20180124T0100,7.2359104,174.28941
20180124T0200,7.928178,177.39743
20180124T0300,7.5599995,180.0
20180124T0400,7.5942073,174.55966
20180124T0500,8.049845,169.69516
20180124T0600,7.771331,166.6075
20180124T0700,7.8625183,164.0546
20180124T0800,8.654986,163.07248
20180124T0900,8.427383,160.01689
20180124T1000,7.628263,160.70996
20180124T1100,8.759178,170.53767
20180124T1200,9.422101,173.41806
20180124T1300,8.759178,170.53767
20180124T1400,9.255571,166.50427
20180124T1500,8.427383,160.01689
20180124T1600,7.754637,158.1986
20180124T1700,8.225035,156.8014
20180124T1800,8.373386,154.53665
20180124T1900,7.42159,157.16635
20180124T2000,6.489992,160.55997
20180124T2100,6.9899354,168.11134
20180124T2200,7.2805495,171.46924
20180124T2300,7.9932976,172.23483
20180125T0000,8.647496,177.61406
20180125T0100,8.350138,187.43141
20180125T0200,7.9526596,185.19443
20180125T0300,7.5685663,177.27368
20180125T0400,7.69592,169.2157
20180125T0500,7.42159,165.96376
20180125T0600,7.628263,160.70996
20180125T0700,7.24486,153.43495
20180125T0800,7.24486,153.43495
20180125T0900,7.8954163,155.77225
20180125T1000,6.162207,173.29016
20180125T1100,9.531505,169.11447
20180125T1200,9.693296,158.1986
20180125T1300,8.766573,160.82098
20180125T1400,7.5942082,148.57043
20180125T1500,6.297428,149.03624
20180125T1600,6.4096174,141.84277
20180125T1700,7.7043357,142.59465
20180125T1800,6.989936,145.49147
20180125T1900,6.792466,147.99461
20180125T2000,6.489992,146.30994
20180125T2100,6.489992,146.30994
20180125T2200,5.154415,155.22485
20180125T2300,4.0249224,169.69516
20180126T0000,4.6800003,157.38013
20180126T0100,4.3349743,138.36646
20180126T0200,4.8433046,131.98721
20180126T0300,4.3349743,138.36646
20180126T0400,3.0547013,135.0
20180126T0500,2.0991426,120.96376
20180126T0600,1.835647,101.30993
20180126T0700,1.2979984,123.69006
20180126T0800,0.8049845,296.56506
20180126T0900,1.8,323.13013
20180126T1000,3.2599385,6.340164
20180126T1100,2.0991426,329.03625
20180126T1200,3.8773184,338.1986
20180126T1300,5.1919937,326.30994
20180126T1400,5.154415,335.22485
20180126T1500,5.0142193,338.9625
20180126T1600,4.510787,331.38956
20180126T1700,4.198285,329.03625
20180126T1800,4.510787,331.38956
20180126T1900,5.3517847,340.3462
20180126T2000,5.8603754,349.38034
20180126T2100,5.506941,348.69006
20180126T2200,4.0249224,349.69516
20180126T2300,5.4119864,3.8140564
20180127T0000,6.519877,6.340164
20180127T0100,4.73506,8.74614
20180127T0200,3.671294,348.69006
